15,14,11,20,14,4,13,10,13,-1,20,-2,20,2,-7,8,6,-1,-3,5,-9,-5
5,5,4,-10,12,20,-9,6,-10,19,10,-9,-1,0,-7,-2,-4,-5,7,15,-5,-4
8,17,9,-9,-2,15,3,0,15,17,-3,15,-9,17,-8,-1,-2,1,11,9,-7,0
-6,1,7,12,18,14,13,8,0,20,18,11,12,10,7,14,14,1,-5,12,13,-2
3,10,3,16,-3,3,-1,2,0,7,8,-9,-5,-7,-7,11,15,11,15,4,0,17
19,16,2,-3,20,15,-3,5,-10,7,11,18,-7,17,-9,-7,0,9,-6,-5,-2,3
-2,-4,15,-7,12,-10,1,-2,10,-6,-8,20,14,14,-8,-10,0,-1,7,4,12,6
7,1,-9,11,20,-6,9,-6,8,-4,18,18,18,-5,13,14,2,0,10,5,15,-5
4,19,7,8,-3,10,0,18,9,8,-5,17,1,2,15,6,3,20,2,-3,5,-8
-2,2,17,4,16,-3,5,8,-1,13,-6,-1,5,-6,15,18,-3,9,-8,1,19,-4
